Group,ShortChar01,Cust. ID,Customer,Name,Address,Address2,Address3,City,State/Province,Postal Code,Country,EDICode,Est. Date,Ship To
DLR,,CID0001,6,Customer Name 1,Street Address 1,Line2,Line3,The City,STATE,10471,USA,,4/27/1990,shiptoname
DLR,,CID0002,8,Customer Name 2,Street Address 2,Line2,Line3,The City,STATE,10471,USA,,4/28/1990,shiptoname
OEM,,CID0003,9,Customer Name 3,Street Address 3,Line2,Line3,The City,STATE,10471,USA,,4/29/1990,shiptoname
DLR,,CID0004,10,Customer Name 4,Street Address 4,Line2,Line3,The City,STATE,10471,USA,,4/30/1990,shiptoname
DLR,,CID0005,12,Customer Name 5,Street Address 5,Line2,Line3,The City,STATE,10471,USA,,5/1/1990,shiptoname
IND,,CID0006,14,Customer Name 6,Street Address 6,Line2,Line3,The City,STATE,10471,USA,,5/2/1990,shiptoname
DLR,,CID0007,22,Customer Name 7,Street Address 7,Line2,Line3,The City,STATE,10471,USA,,5/3/1990,shiptoname
DLR,,CID0008,24,Customer Name 8,Street Address 8,Line2,Line3,The City,STATE,10471,USA,,5/4/1990,shiptoname
DLR,,CID0009,27,Customer Name 9,Street Address 9,Line2,Line3,The City,STATE,10471,USA,,5/5/1990,shiptoname
DLR,,CID0010,33,Customer Name 10,Street Address 10,Line2,Line3,The City,STATE,10471,USA,,5/6/1990,shiptoname
IND,,CID0011,34,Customer Name 11,Street Address 11,Line2,Line3,The City,STATE,10471,USA,,5/7/1990,shiptoname
IND,,CID0012,35,Customer Name 12,Street Address 12,Line2,Line3,The City,STATE,10471,USA,,5/8/1990,
OEM,,CID0013,36,Customer Name 13,Street Address 13,Line2,Line3,The City,STATE,10471,USA,,5/9/1990,
DLR,,CID0014,40,Customer Name 14,Street Address 14,Line2,Line3,The City,STATE,10471,USA,,5/10/1990,
DLR,,CID0015,41,Customer Name 15,Street Address 15,Line2,Line3,The City,STATE,10471,USA,,5/11/1990,
IND,,CID0016,43,Customer Name 16,Street Address 16,Line2,Line3,The City,STATE,10471,USA,,5/12/1990,
DLR,,CID0017,46,Customer Name 17,Street Address 17,Line2,Line3,The City,STATE,10471,USA,,5/13/1990,
DLR,,CID0018,49,Customer Name 18,Street Address 18,Line2,Line3,The City,STATE,10471,USA,,5/14/1990,
DLR,,CID0019,54,Customer Name 19,Street Address 19,Line2,Line3,The City,STATE,10471,USA,,5/15/1990,
DLR,,CID0020,56,Customer Name 20,Street Address 20,Line2,Line3,The City,STATE,10471,CANADA,,5/16/1990,
DLR,,CID0021,58,Customer Name 21,Street Address 21,Line2,Line3,The City,STATE,10471,USA,,5/17/1990,
DLR,,CID0022,59,Customer Name 22,Street Address 22,Line2,Line3,The City,STATE,10471,USA,,5/18/1990,
DLR,,CID0023,61,Customer Name 23,Street Address 23,Line2,Line3,The City,STATE,10471,USA,,5/19/1990,
DLR,,CID0024,62,Customer Name 24,Street Address 24,Line2,Line3,The City,STATE,10471,CANADA,,5/20/1990,
DLR,,CID0025,63,Customer Name 25,Street Address 25,Line2,Line3,The City,STATE,10471,USA,,5/21/1990,
DLR,,CID0026,64,Customer Name 26,Street Address 26,Line2,Line3,The City,STATE,10471,USA,,5/22/1990,
DLR,,CID0027,65,Customer Name 27,Street Address 27,Line2,Line3,The City,STATE,10471,USA,,5/23/1990,
DLR,,CID0028,66,Customer Name 28,Street Address 28,Line2,Line3,The City,STATE,10471,USA,,5/24/1990,
DLR,,CID0029,68,Customer Name 29,Street Address 29,Line2,Line3,The City,STATE,10471,USA,,5/25/1990,
DLR,,CID0030,69,Customer Name 30,Street Address 30,Line2,Line3,The City,STATE,10471,CANADA,,5/26/1990,
DLR,,CID0031,70,Customer Name 31,Street Address 31,Line2,Line3,The City,STATE,10471,USA,,5/27/1990,
DLR,,CID0032,71,Customer Name 32,Street Address 32,Line2,Line3,The City,STATE,10471,USA,,5/28/1990,
DLR,,CID0033,72,Customer Name 33,Street Address 33,Line2,Line3,The City,STATE,10471,USA,,5/29/1990,
OEM,,CID0034,74,Customer Name 34,Street Address 34,Line2,Line3,The City,STATE,10471,USA,,5/30/1990,
DLR,,CID0035,75,Customer Name 35,Street Address 35,Line2,Line3,The City,STATE,10471,USA,,5/31/1990,
DLR,,CID0036,76,Customer Name 36,Street Address 36,Line2,Line3,The City,STATE,10471,USA,,6/1/1990,
DLR,,CID0037,77,Customer Name 37,Street Address 37,Line2,Line3,The City,STATE,10471,USA,,6/2/1990,
DLR,,CID0038,79,Customer Name 38,Street Address 38,Line2,Line3,The City,STATE,10471,USA,,6/3/1990,
DLR,,CID0039,80,Customer Name 39,Street Address 39,Line2,Line3,The City,STATE,10471,USA,,6/4/1990,
DLR,,CID0040,81,Customer Name 40,Street Address 40,Line2,Line3,The City,STATE,10471,USA,,6/5/1990,
DLR,,CID0041,83,Customer Name 41,Street Address 41,Line2,Line3,The City,STATE,10471,USA,,6/6/1990,
DLR,,CID0042,84,Customer Name 42,Street Address 42,Line2,Line3,The City,STATE,10471,USA,,6/7/1990,
